ConfigID;switch_3d1a5e98-a9e6-80f8-ce99-4d377b68ec03;switch_5236d4e1-d32c-e111-3ec3-e2f2d78a7296;switch_269f5f7f-2985-4131-a9db-a1da143c8c67;switch_41d6d807-0cd2-157d-acb2-1540ce172528;switch_72dc55bf-6560-11c1-eb38-0615aaa100bc;switch_83673406-86e0-240c-b450-27e83f1fe893;switch_166ddb80-a665-4488-0766-e0ea310a1421;switch_5373c8ad-ae7a-7f9a-24b2-6f2a3c497970;switch_2a09c1f1-34a2-cddc-c304-97669fa4f9a5;switch_8eaf8123-cfcf-fef7-90a4-804a06fb87ab;switch_ac576162-1e41-c815-471c-b9e29aae3600;switch_fcc3086e-2651-e998-17bf-7b4f7edbae07;switch_bf9aa6c1-b7d1-7799-68aa-a3834387a75c;switch_d02f918a-9dbe-4e36-c1eb-6d1943dc7939;switch_5aaa762f-4540-459c-15a8-351d44306f2e;switch_b4f3a68a-5aa2-24a4-2f68-04eb860c3a83;switch_2a057a0e-0f9d-8c83-0fa9-bd4ebe7f4c9c;switch_bcb125e9-5343-d5bf-5a27-3cc96a84d811;switch_dad0e65d-ab55-0982-5532-9a6a1cd77644;switch_6170f659-123c-1df4-9372-7d4ce87f45b5;switch_26699ad0-b3d5-fc95-2c10-2ec631bb8c26;switch_a26be101-189d-63e7-e845-702878093da6;switch_6c870a3d-b1b0-850d-128d-ec0f72a4ff21;switch_e272b71f-579a-fbd7-cb7c-d9db47366714;switch_2833a778-53f5-6656-9b48-558d074b3899;switch_7dac30e0-6aa7-0040-0351-f28fda223a12;switch_a8d5d0f0-c608-22e1-3eeb-f0ac09948899;switch_91148f4d-b216-f29e-4a2c-20c258b74f22;switch_f00b0822-a031-c734-22a2-c17ec33b2790
ecbcf274-51ae-570f-b318-eb22ec57df37;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1
847f98c7-7ab6-56e0-8e64-2dbda4c89b09;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
e68c7d31-9a4a-58f2-960f-b7db868c2f97;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
ea225156-5802-5bdc-bb3b-bff57e9d27fe;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
495e63c2-1432-5fda-8d9c-1eff7f49b23c;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1
4fcb0f74-30f7-54ec-86e1-dc0c2dc255f7;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
93ba5989-67f4-56ff-8f93-936bf6a90dda;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1
fe36a377-166c-5a1d-ab9d-a8b1042731d1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0
1ce36322-954c-55f8-aa62-ee8fe1235536;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1
01e23309-4d8e-5709-9ac3-77a5a6f05a86;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
be2544d9-af49-5a82-8825-ea9116c002ce;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
1bdc05d4-9edd-55d3-a23c-6d6f83e0d2c0;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
9bd66e32-e05f-5fbf-837c-cbd8e88ab4dc;1;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
463f464e-eee0-50f5-81f4-79659919e54e;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
9e3ff081-9791-557d-ad7d-8f120a910d7b;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
500d87fc-c39d-5af6-8c9e-c1231c5eb524;1;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
6089064e-b1c9-509a-a07a-c23a660503a2;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
a19e493b-2560-5b6d-b874-79d324b2d4a8;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
4bb6371b-bfab-5f42-bcac-0c98cd078ba1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8af338e5-8357-5d28-8f4a-6a77c2e13fd7;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1
cb2b70f5-6636-5516-882b-18088d2a9d55;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1
f7497fe0-3daf-5580-83a7-0618a17fe11c;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1
3d142271-e755-54e0-85c9-f25734efc44c;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1
db029cc1-59b2-5596-bbdc-68812d88e285;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
21930c53-1984-5dae-9958-cb5012db7110;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
93a5538c-202e-5858-81f7-c895f20a43c5;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1
996adc48-3059-5a13-b9c9-60c3d06ad6bc;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1
6d0cfe70-e683-5a62-af7b-282ea6495a6c;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1
2e0fa7a1-a5f7-5679-b1f9-3cef6703573b;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1
a135172d-0dfb-568b-b79e-2f6bd3960da8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1
337dadc6-8595-5e8d-b84c-9ae0270b0a5f;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
6b6a3cc0-2e14-53c8-a203-7eb45bb18f25;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
20c1ea79-537d-5218-9e10-59879c1b5cee;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
0b0cd05f-af99-58b0-bc25-c762ad115efe;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
178514f8-17b5-5f9b-b46d-bb3cfa99edb3;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
a4d1fcfe-02fd-5d60-8918-a45a890ce331;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
494650b8-49c2-5e0b-b1cf-804869152b42;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
e3bb7c81-399b-5463-8c20-5991704af02f;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
beb8b054-1d4c-5806-bd79-4eb87a8b6e6d;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1
987b53c4-3444-5fed-b85f-ddc2fea6e63d;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
aca99312-35bb-5641-ba99-710d48be0b42;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
38168cfd-230d-5c7a-ad9d-aa1bfabfbd00;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
c192fbe1-a8f1-5095-b250-ea975fe7a2fc;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1
f45f65b9-f604-56c5-a4e8-47dd58022789;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2ac9c321-ef4b-5a12-bc96-1fbf93682ebb;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1
d7130e2c-67d2-5818-b7c2-7bb9c475f62c;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0
d2250de6-b714-5a07-ab40-0edbd4af826d;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
b3105151-f1bb-59bc-be47-ef98429af725;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
b7705b46-d685-59bb-b8e7-b1a4b4a0d2e8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
